Activity_status,Sex_Male,Sex_Female,Sex_Total,Township,MIMU_code
 Employee (Government),4244,5286,9530,Chanayeharzan,MMR010002
" Employee (Private, Org)",26231,20526,46757,Chanayeharzan,MMR010002
 Employer,3365,1726,5091,Chanayeharzan,MMR010002
 Own account worker,18413,12111,30524,Chanayeharzan,MMR010002
 Contributing family worker,3171,2650,5821,Chanayeharzan,MMR010002
 Sought work,1881,1195,3076,Chanayeharzan,MMR010002
 Did not seek work,425,203,628,Chanayeharzan,MMR010002
 Full time student,12878,13364,26242,Chanayeharzan,MMR010002
 Household work,1161,27276,28437,Chanayeharzan,MMR010002
" Pensioner, retired, elderly person",4547,6190,10737,Chanayeharzan,MMR010002
" Ill, disabled",457,372,829,Chanayeharzan,MMR010002
 Other,6046,3013,9059,Chanayeharzan,MMR010002
 Total,82819,93912,176731,Chanayeharzan,MMR010002
