Activity_status,Sex_Male,Sex_Female,Sex_Total,Township,MIMU_code
 Employee (Government),2840,864,3704,An,MMR012014
" Employee (Private, Org)",4784,1854,6638,An,MMR012014
 Employer,584,239,823,An,MMR012014
 Own account worker,19431,7572,27003,An,MMR012014
 Contributing family worker,2678,3275,5953,An,MMR012014
 Sought work,2448,1365,3813,An,MMR012014
 Did not seek work,384,289,673,An,MMR012014
 Full time student,6970,6573,13543,An,MMR012014
 Household work,585,20471,21056,An,MMR012014
" Pensioner, retired, elderly person",1612,2682,4294,An,MMR012014
" Ill, disabled",251,283,534,An,MMR012014
 Other,2802,2316,5118,An,MMR012014
 Total,45369,47783,93152,An,MMR012014
