Activity_status,Sex_Male,Sex_Female,Sex_Total,Township,MIMU_code
 Employee (Government),1002,717,1719,Wuntho,MMR005025
" Employee (Private, Org)",4194,1572,5766,Wuntho,MMR005025
 Employer,1091,250,1341,Wuntho,MMR005025
 Own account worker,10847,5008,15855,Wuntho,MMR005025
 Contributing family worker,3691,5442,9133,Wuntho,MMR005025
 Sought work,391,346,737,Wuntho,MMR005025
 Did not seek work,79,76,155,Wuntho,MMR005025
 Full time student,3628,4120,7748,Wuntho,MMR005025
 Household work,468,10064,10532,Wuntho,MMR005025
" Pensioner, retired, elderly person",1367,2316,3683,Wuntho,MMR005025
" Ill, disabled",140,138,278,Wuntho,MMR005025
 Other,1242,590,1832,Wuntho,MMR005025
 Total,28140,30639,58779,Wuntho,MMR005025
