Activity_status,Sex_Male,Sex_Female,Sex_Total,Township,MIMU_code
 Employee (Government),47,16,63,Shan Ywathit(ST),MMR003002
" Employee (Private, Org)",800,217,1017,Shan Ywathit(ST),MMR003002
 Employer,63,13,76,Shan Ywathit(ST),MMR003002
 Own account worker,3101,897,3998,Shan Ywathit(ST),MMR003002
 Contributing family worker,2225,2128,4353,Shan Ywathit(ST),MMR003002
 Sought work,164,115,279,Shan Ywathit(ST),MMR003002
 Did not seek work,247,185,432,Shan Ywathit(ST),MMR003002
 Full time student,582,738,1320,Shan Ywathit(ST),MMR003002
 Household work,154,2904,3058,Shan Ywathit(ST),MMR003002
" Pensioner, retired, elderly person",140,229,369,Shan Ywathit(ST),MMR003002
" Ill, disabled",27,22,49,Shan Ywathit(ST),MMR003002
 Other,324,181,505,Shan Ywathit(ST),MMR003002
 Total,7874,7645,15519,Shan Ywathit(ST),MMR003002
