Activity_status,Sex_Male,Sex_Female,Sex_Total,Township,MIMU_code
 Employee (Government),764,980,1744,Khin U,MMR005005
" Employee (Private, Org)",9637,7278,16915,Khin U,MMR005005
 Employer,1234,640,1874,Khin U,MMR005005
 Own account worker,22435,11504,33939,Khin U,MMR005005
 Contributing family worker,7534,15932,23466,Khin U,MMR005005
 Sought work,522,750,1272,Khin U,MMR005005
 Did not seek work,79,61,140,Khin U,MMR005005
 Full time student,7893,8077,15970,Khin U,MMR005005
 Household work,421,15168,15589,Khin U,MMR005005
" Pensioner, retired, elderly person",3117,5072,8189,Khin U,MMR005005
" Ill, disabled",452,425,877,Khin U,MMR005005
 Other,1586,614,2200,Khin U,MMR005005
 Total,55674,66501,122175,Khin U,MMR005005
