Activity_status,Sex_Male,Sex_Female,Sex_Total,Township,MIMU_code
 Employee (Government),233,363,596,Pabedan,MMR013034
" Employee (Private, Org)",3532,2801,6333,Pabedan,MMR013034
 Employer,979,323,1302,Pabedan,MMR013034
 Own account worker,3363,1111,4474,Pabedan,MMR013034
 Contributing family worker,971,519,1490,Pabedan,MMR013034
 Sought work,407,214,621,Pabedan,MMR013034
 Did not seek work,78,41,119,Pabedan,MMR013034
 Full time student,1990,1983,3973,Pabedan,MMR013034
 Household work,227,7059,7286,Pabedan,MMR013034
" Pensioner, retired, elderly person",958,1283,2241,Pabedan,MMR013034
" Ill, disabled",121,125,246,Pabedan,MMR013034
 Other,542,525,1067,Pabedan,MMR013034
 Total,13401,16347,29748,Pabedan,MMR013034
