Activity_status,Sex_Male,Sex_Female,Sex_Total,Township,MIMU_code
 Employee (Government),4608,2970,7578,Pyinmana,MMR018006
" Employee (Private, Org)",20380,10824,31204,Pyinmana,MMR018006
 Employer,2311,1026,3337,Pyinmana,MMR018006
 Own account worker,20255,12470,32725,Pyinmana,MMR018006
 Contributing family worker,3074,3549,6623,Pyinmana,MMR018006
 Sought work,2321,1333,3654,Pyinmana,MMR018006
 Did not seek work,453,190,643,Pyinmana,MMR018006
 Full time student,11056,11043,22099,Pyinmana,MMR018006
 Household work,1055,28432,29487,Pyinmana,MMR018006
" Pensioner, retired, elderly person",3749,5065,8814,Pyinmana,MMR018006
" Ill, disabled",585,476,1061,Pyinmana,MMR018006
 Other,3702,2712,6414,Pyinmana,MMR018006
 Total,73549,80090,153639,Pyinmana,MMR018006
