Activity_status,Sex_Male,Sex_Female,Sex_Total,Township,MIMU_code
 Employee (Government),796,723,1519,Kyunhlau,MMR005008
" Employee (Private, Org)",6926,2624,9550,Kyunhlau,MMR005008
 Employer,1217,503,1720,Kyunhlau,MMR005008
 Own account worker,18125,8392,26517,Kyunhlau,MMR005008
 Contributing family worker,4323,10165,14488,Kyunhlau,MMR005008
 Sought work,713,690,1403,Kyunhlau,MMR005008
 Did not seek work,59,73,132,Kyunhlau,MMR005008
 Full time student,5493,5646,11139,Kyunhlau,MMR005008
 Household work,310,10539,10849,Kyunhlau,MMR005008
" Pensioner, retired, elderly person",1986,2943,4929,Kyunhlau,MMR005008
" Ill, disabled",192,265,457,Kyunhlau,MMR005008
 Other,1043,402,1445,Kyunhlau,MMR005008
 Total,41183,42965,84148,Kyunhlau,MMR005008
