Activity_status,Sex_Male,Sex_Female,Sex_Total,Township,MIMU_code
 Employee (Government),498,102,600,Mineyan,MMR016003
" Employee (Private, Org)",799,396,1195,Mineyan,MMR016003
 Employer,1945,159,2104,Mineyan,MMR016003
 Own account worker,7754,2487,10241,Mineyan,MMR016003
 Contributing family worker,6293,10303,16596,Mineyan,MMR016003
 Sought work,229,181,410,Mineyan,MMR016003
 Did not seek work,132,31,163,Mineyan,MMR016003
 Full time student,1432,1249,2681,Mineyan,MMR016003
 Household work,460,3529,3989,Mineyan,MMR016003
" Pensioner, retired, elderly person",946,1455,2401,Mineyan,MMR016003
" Ill, disabled",77,78,155,Mineyan,MMR016003
 Other,934,285,1219,Mineyan,MMR016003
 Total,21499,20255,41754,Mineyan,MMR016003
