Activity_status,Sex_Male,Sex_Female,Sex_Total,Township,MIMU_code
 Employee (Government),2173,1466,3639,Oatwin,MMR007013
" Employee (Private, Org)",16401,11804,28205,Oatwin,MMR007013
 Employer,4426,1415,5841,Oatwin,MMR007013
 Own account worker,14108,7858,21966,Oatwin,MMR007013
 Contributing family worker,4543,6888,11431,Oatwin,MMR007013
 Sought work,1717,1161,2878,Oatwin,MMR007013
 Did not seek work,243,131,374,Oatwin,MMR007013
 Full time student,7769,8028,15797,Oatwin,MMR007013
 Household work,799,23149,23948,Oatwin,MMR007013
" Pensioner, retired, elderly person",2485,3559,6044,Oatwin,MMR007013
" Ill, disabled",610,589,1199,Oatwin,MMR007013
 Other,3791,2317,6108,Oatwin,MMR007013
 Total,59065,68365,127430,Oatwin,MMR007013
