Activity_status,Sex_Male,Sex_Female,Sex_Total,Township,MIMU_code
 Employee (Government),1363,870,2233,Momeik,MMR015017
" Employee (Private, Org)",4788,2078,6866,Momeik,MMR015017
 Employer,547,157,704,Momeik,MMR015017
 Own account worker,9626,4061,13687,Momeik,MMR015017
 Contributing family worker,1938,3223,5161,Momeik,MMR015017
 Sought work,1072,525,1597,Momeik,MMR015017
 Did not seek work,115,94,209,Momeik,MMR015017
 Full time student,2946,3375,6321,Momeik,MMR015017
 Household work,325,8808,9133,Momeik,MMR015017
" Pensioner, retired, elderly person",1237,1954,3191,Momeik,MMR015017
" Ill, disabled",148,166,314,Momeik,MMR015017
 Other,998,409,1407,Momeik,MMR015017
 Total,25103,25720,50823,Momeik,MMR015017
