Activity_status,Sex_Male,Sex_Female,Sex_Total,Township,MIMU_code
 Employee (Government),667,737,1404,Tigyaing,MMR005022
" Employee (Private, Org)",10290,5099,15389,Tigyaing,MMR005022
 Employer,1686,364,2050,Tigyaing,MMR005022
 Own account worker,19370,8173,27543,Tigyaing,MMR005022
 Contributing family worker,6459,9015,15474,Tigyaing,MMR005022
 Sought work,1176,586,1762,Tigyaing,MMR005022
 Did not seek work,163,91,254,Tigyaing,MMR005022
 Full time student,6478,6904,13382,Tigyaing,MMR005022
 Household work,734,18184,18918,Tigyaing,MMR005022
" Pensioner, retired, elderly person",2067,3288,5355,Tigyaing,MMR005022
" Ill, disabled",216,221,437,Tigyaing,MMR005022
 Other,1763,918,2681,Tigyaing,MMR005022
 Total,51069,53580,104649,Tigyaing,MMR005022
