Activity_status,Sex_Male,Sex_Female,Sex_Total,Township,MIMU_code
 Employee (Government),2330,1732,4062,Yenangyoung,MMR009002
" Employee (Private, Org)",9632,6661,16293,Yenangyoung,MMR009002
 Employer,2264,1047,3311,Yenangyoung,MMR009002
 Own account worker,12491,7434,19925,Yenangyoung,MMR009002
 Contributing family worker,4308,6430,10738,Yenangyoung,MMR009002
 Sought work,1480,1310,2790,Yenangyoung,MMR009002
 Did not seek work,238,128,366,Yenangyoung,MMR009002
 Full time student,8768,8829,17597,Yenangyoung,MMR009002
 Household work,712,22173,22885,Yenangyoung,MMR009002
" Pensioner, retired, elderly person",3805,5357,9162,Yenangyoung,MMR009002
" Ill, disabled",576,563,1139,Yenangyoung,MMR009002
 Other,1961,759,2720,Yenangyoung,MMR009002
 Total,48565,62423,110988,Yenangyoung,MMR009002
