Activity_status,Sex_Male,Sex_Female,Sex_Total,Township,MIMU_code
 Employee (Government),1828,1973,3801,Yesagyo,MMR009019
" Employee (Private, Org)",12383,10907,23290,Yesagyo,MMR009019
 Employer,2250,1208,3458,Yesagyo,MMR009019
 Own account worker,25064,22154,47218,Yesagyo,MMR009019
 Contributing family worker,8817,18537,27354,Yesagyo,MMR009019
 Sought work,1975,1816,3791,Yesagyo,MMR009019
 Did not seek work,299,242,541,Yesagyo,MMR009019
 Full time student,12527,13430,25957,Yesagyo,MMR009019
 Household work,1083,21758,22841,Yesagyo,MMR009019
" Pensioner, retired, elderly person",4599,7404,12003,Yesagyo,MMR009019
" Ill, disabled",838,816,1654,Yesagyo,MMR009019
 Other,3261,1602,4863,Yesagyo,MMR009019
 Total,74924,101847,176771,Yesagyo,MMR009019
