Activity_status,Sex_Male,Sex_Female,Sex_Total,Township,MIMU_code
 Employee (Government),4837,3889,8726,Hlinethaya,MMR013008
" Employee (Private, Org)",149382,108036,257418,Hlinethaya,MMR013008
 Employer,5253,2753,8006,Hlinethaya,MMR013008
 Own account worker,35909,27171,63080,Hlinethaya,MMR013008
 Contributing family worker,3775,4145,7920,Hlinethaya,MMR013008
 Sought work,6015,3036,9051,Hlinethaya,MMR013008
 Did not seek work,1653,994,2647,Hlinethaya,MMR013008
 Full time student,32146,31444,63590,Hlinethaya,MMR013008
 Household work,3491,107555,111046,Hlinethaya,MMR013008
" Pensioner, retired, elderly person",11234,13189,24423,Hlinethaya,MMR013008
" Ill, disabled",2174,1437,3611,Hlinethaya,MMR013008
 Other,12145,7713,19858,Hlinethaya,MMR013008
 Total,268014,311362,579376,Hlinethaya,MMR013008
