Activity_status,Sex_Male,Sex_Female,Sex_Total,Township,MIMU_code
 Employee (Government),1030,153,1183,Karli(ST),MMR014014
" Employee (Private, Org)",549,253,802,Karli(ST),MMR014014
 Employer,138,84,222,Karli(ST),MMR014014
 Own account worker,5554,2590,8144,Karli(ST),MMR014014
 Contributing family worker,2963,4809,7772,Karli(ST),MMR014014
 Sought work,145,116,261,Karli(ST),MMR014014
 Did not seek work,94,92,186,Karli(ST),MMR014014
 Full time student,811,1029,1840,Karli(ST),MMR014014
 Household work,198,2916,3114,Karli(ST),MMR014014
" Pensioner, retired, elderly person",448,621,1069,Karli(ST),MMR014014
" Ill, disabled",60,43,103,Karli(ST),MMR014014
 Other,682,125,807,Karli(ST),MMR014014
 Total,12672,12831,25503,Karli(ST),MMR014014
