Activity_status,Sex_Male,Sex_Female,Sex_Total,Township,MIMU_code
 Employee (Government),1006,662,1668,Mindat,MMR004006
" Employee (Private, Org)",826,355,1181,Mindat,MMR004006
 Employer,45,38,83,Mindat,MMR004006
 Own account worker,3040,3259,6299,Mindat,MMR004006
 Contributing family worker,2358,3910,6268,Mindat,MMR004006
 Sought work,352,253,605,Mindat,MMR004006
 Did not seek work,32,31,63,Mindat,MMR004006
 Full time student,3995,4139,8134,Mindat,MMR004006
 Household work,144,2604,2748,Mindat,MMR004006
" Pensioner, retired, elderly person",730,792,1522,Mindat,MMR004006
" Ill, disabled",187,197,384,Mindat,MMR004006
 Other,496,273,769,Mindat,MMR004006
 Total,13211,16513,29724,Mindat,MMR004006
