Activity_status,Sex_Male,Sex_Female,Sex_Total,Township,MIMU_code
 Employee (Government),150,103,253,Reazu(ST),MMR004007
" Employee (Private, Org)",256,175,431,Reazu(ST),MMR004007
 Employer,6,3,9,Reazu(ST),MMR004007
 Own account worker,450,384,834,Reazu(ST),MMR004007
 Contributing family worker,1334,1472,2806,Reazu(ST),MMR004007
 Sought work,136,90,226,Reazu(ST),MMR004007
 Did not seek work,80,76,156,Reazu(ST),MMR004007
 Full time student,930,1114,2044,Reazu(ST),MMR004007
 Household work,100,1278,1378,Reazu(ST),MMR004007
" Pensioner, retired, elderly person",175,293,468,Reazu(ST),MMR004007
" Ill, disabled",53,70,123,Reazu(ST),MMR004007
 Other,65,62,127,Reazu(ST),MMR004007
 Total,3735,5120,8855,Reazu(ST),MMR004007
