Activity_status,Sex_Male,Sex_Female,Sex_Total,Township,MIMU_code
 Employee (Government),1009,134,1143,Kengtaung(ST),MMR014019
" Employee (Private, Org)",1041,201,1242,Kengtaung(ST),MMR014019
 Employer,100,51,151,Kengtaung(ST),MMR014019
 Own account worker,1690,521,2211,Kengtaung(ST),MMR014019
 Contributing family worker,235,329,564,Kengtaung(ST),MMR014019
 Sought work,75,25,100,Kengtaung(ST),MMR014019
 Did not seek work,23,10,33,Kengtaung(ST),MMR014019
 Full time student,269,381,650,Kengtaung(ST),MMR014019
 Household work,136,1942,2078,Kengtaung(ST),MMR014019
" Pensioner, retired, elderly person",155,208,363,Kengtaung(ST),MMR014019
" Ill, disabled",23,19,42,Kengtaung(ST),MMR014019
 Other,268,91,359,Kengtaung(ST),MMR014019
 Total,5024,3912,8936,Kengtaung(ST),MMR014019
