Activity_status,Sex_Male,Sex_Female,Sex_Total,Township,MIMU_code
 Employee (Government),4006,2579,6585,Mingala Taungnyunt,MMR013022
" Employee (Private, Org)",16330,9422,25752,Mingala Taungnyunt,MMR013022
 Employer,1778,611,2389,Mingala Taungnyunt,MMR013022
 Own account worker,11105,5345,16450,Mingala Taungnyunt,MMR013022
 Contributing family worker,2101,1416,3517,Mingala Taungnyunt,MMR013022
 Sought work,1937,1005,2942,Mingala Taungnyunt,MMR013022
 Did not seek work,319,189,508,Mingala Taungnyunt,MMR013022
 Full time student,8492,8171,16663,Mingala Taungnyunt,MMR013022
 Household work,876,26524,27400,Mingala Taungnyunt,MMR013022
" Pensioner, retired, elderly person",3952,4660,8612,Mingala Taungnyunt,MMR013022
" Ill, disabled",431,439,870,Mingala Taungnyunt,MMR013022
 Other,2717,1426,4143,Mingala Taungnyunt,MMR013022
 Total,54044,61787,115831,Mingala Taungnyunt,MMR013022
