Activity_status,Sex_Male,Sex_Female,Sex_Total,Township,MIMU_code
 Employee (Government),1872,901,2773,Tachileik,MMR016009
" Employee (Private, Org)",19356,9580,28936,Tachileik,MMR016009
 Employer,1334,892,2226,Tachileik,MMR016009
 Own account worker,18440,12262,30702,Tachileik,MMR016009
 Contributing family worker,4395,5642,10037,Tachileik,MMR016009
 Sought work,1567,1112,2679,Tachileik,MMR016009
 Did not seek work,698,405,1103,Tachileik,MMR016009
 Full time student,5974,6665,12639,Tachileik,MMR016009
 Household work,1495,17241,18736,Tachileik,MMR016009
" Pensioner, retired, elderly person",2219,3405,5624,Tachileik,MMR016009
" Ill, disabled",299,233,532,Tachileik,MMR016009
 Other,3738,1736,5474,Tachileik,MMR016009
 Total,61387,60074,121461,Tachileik,MMR016009
