Activity_status,Sex_Male,Sex_Female,Sex_Total,Township,MIMU_code
 Employee (Government),241,94,335,Myothit(ST),MMR005030
" Employee (Private, Org)",1126,523,1649,Myothit(ST),MMR005030
 Employer,311,38,349,Myothit(ST),MMR005030
 Own account worker,2187,463,2650,Myothit(ST),MMR005030
 Contributing family worker,618,555,1173,Myothit(ST),MMR005030
 Sought work,235,166,401,Myothit(ST),MMR005030
 Did not seek work,57,58,115,Myothit(ST),MMR005030
 Full time student,1014,1180,2194,Myothit(ST),MMR005030
 Household work,55,2331,2386,Myothit(ST),MMR005030
" Pensioner, retired, elderly person",239,291,530,Myothit(ST),MMR005030
" Ill, disabled",33,43,76,Myothit(ST),MMR005030
 Other,326,55,381,Myothit(ST),MMR005030
 Total,6442,5797,12239,Myothit(ST),MMR005030
