Activity_status,Sex_Male,Sex_Female,Sex_Total,Township,MIMU_code
 Employee (Government),1645,1803,3448,Daik U,MMR007007
" Employee (Private, Org)",24329,15534,39863,Daik U,MMR007007
 Employer,4720,1299,6019,Daik U,MMR007007
 Own account worker,19230,10373,29603,Daik U,MMR007007
 Contributing family worker,5063,4867,9930,Daik U,MMR007007
 Sought work,2073,1491,3564,Daik U,MMR007007
 Did not seek work,306,154,460,Daik U,MMR007007
 Full time student,10917,11032,21949,Daik U,MMR007007
 Household work,830,32932,33762,Daik U,MMR007007
" Pensioner, retired, elderly person",3370,5027,8397,Daik U,MMR007007
" Ill, disabled",756,670,1426,Daik U,MMR007007
 Other,2508,543,3051,Daik U,MMR007007
 Total,75747,85725,161472,Daik U,MMR007007
