Activity_status,Sex_Male,Sex_Female,Sex_Total,Township,MIMU_code
 Employee (Government),1574,2043,3617,Kyimyindine,MMR013038
" Employee (Private, Org)",16434,8570,25004,Kyimyindine,MMR013038
 Employer,1177,664,1841,Kyimyindine,MMR013038
 Own account worker,9274,7497,16771,Kyimyindine,MMR013038
 Contributing family worker,1027,1493,2520,Kyimyindine,MMR013038
 Sought work,1637,791,2428,Kyimyindine,MMR013038
 Did not seek work,395,191,586,Kyimyindine,MMR013038
 Full time student,6287,6185,12472,Kyimyindine,MMR013038
 Household work,723,17796,18519,Kyimyindine,MMR013038
" Pensioner, retired, elderly person",2953,3756,6709,Kyimyindine,MMR013038
" Ill, disabled",370,285,655,Kyimyindine,MMR013038
 Other,2791,2018,4809,Kyimyindine,MMR013038
 Total,44642,51289,95931,Kyimyindine,MMR013038
