Activity_status,Sex_Male,Sex_Female,Sex_Total,Township,MIMU_code
 Employee (Government),4453,3664,8117,Dagon Myothit(South),MMR013018
" Employee (Private, Org)",68949,31394,100343,Dagon Myothit(South),MMR013018
 Employer,2813,894,3707,Dagon Myothit(South),MMR013018
 Own account worker,24571,16289,40860,Dagon Myothit(South),MMR013018
 Contributing family worker,2838,3132,5970,Dagon Myothit(South),MMR013018
 Sought work,4846,2313,7159,Dagon Myothit(South),MMR013018
 Did not seek work,1137,529,1666,Dagon Myothit(South),MMR013018
 Full time student,21208,21339,42547,Dagon Myothit(South),MMR013018
 Household work,1850,66413,68263,Dagon Myothit(South),MMR013018
" Pensioner, retired, elderly person",9183,10134,19317,Dagon Myothit(South),MMR013018
" Ill, disabled",1507,1108,2615,Dagon Myothit(South),MMR013018
 Other,7682,4542,12224,Dagon Myothit(South),MMR013018
 Total,151037,161751,312788,Dagon Myothit(South),MMR013018
