Activity_status,Sex_Male,Sex_Female,Sex_Total,Township,MIMU_code
 Employee (Government),15808,18707,34515,Zabuthiri,MMR018002
" Employee (Private, Org)",11303,6071,17374,Zabuthiri,MMR018002
 Employer,634,293,927,Zabuthiri,MMR018002
 Own account worker,4222,2526,6748,Zabuthiri,MMR018002
 Contributing family worker,569,860,1429,Zabuthiri,MMR018002
 Sought work,933,656,1589,Zabuthiri,MMR018002
 Did not seek work,146,93,239,Zabuthiri,MMR018002
 Full time student,4858,4993,9851,Zabuthiri,MMR018002
 Household work,482,13437,13919,Zabuthiri,MMR018002
" Pensioner, retired, elderly person",1556,1942,3498,Zabuthiri,MMR018002
" Ill, disabled",158,130,288,Zabuthiri,MMR018002
 Other,2769,1907,4676,Zabuthiri,MMR018002
 Total,43438,51615,95053,Zabuthiri,MMR018002
