Activity_status,Sex_Male,Sex_Female,Sex_Total,Township,MIMU_code
 Employee (Government),704,941,1645,Tanatpin,MMR007002
" Employee (Private, Org)",12699,6647,19346,Tanatpin,MMR007002
 Employer,3621,882,4503,Tanatpin,MMR007002
 Own account worker,14528,7663,22191,Tanatpin,MMR007002
 Contributing family worker,2622,1814,4436,Tanatpin,MMR007002
 Sought work,2119,1417,3536,Tanatpin,MMR007002
 Did not seek work,326,170,496,Tanatpin,MMR007002
 Full time student,8573,8445,17018,Tanatpin,MMR007002
 Household work,687,25730,26417,Tanatpin,MMR007002
" Pensioner, retired, elderly person",1892,3095,4987,Tanatpin,MMR007002
" Ill, disabled",558,531,1089,Tanatpin,MMR007002
 Other,4176,2311,6487,Tanatpin,MMR007002
 Total,52505,59646,112151,Tanatpin,MMR007002
