Activity_status,Sex_Male,Sex_Female,Sex_Total,Township,MIMU_code
 Employee (Government),679,594,1273,Ngathaingchaung(ST),MMR017006
" Employee (Private, Org)",7808,2882,10690,Ngathaingchaung(ST),MMR017006
 Employer,2572,492,3064,Ngathaingchaung(ST),MMR017006
 Own account worker,9298,4045,13343,Ngathaingchaung(ST),MMR017006
 Contributing family worker,1859,2138,3997,Ngathaingchaung(ST),MMR017006
 Sought work,1131,632,1763,Ngathaingchaung(ST),MMR017006
 Did not seek work,175,83,258,Ngathaingchaung(ST),MMR017006
 Full time student,4430,4336,8766,Ngathaingchaung(ST),MMR017006
 Household work,355,18514,18869,Ngathaingchaung(ST),MMR017006
" Pensioner, retired, elderly person",1446,2285,3731,Ngathaingchaung(ST),MMR017006
" Ill, disabled",299,326,625,Ngathaingchaung(ST),MMR017006
 Other,4465,2202,6667,Ngathaingchaung(ST),MMR017006
 Total,34517,38529,73046,Ngathaingchaung(ST),MMR017006
