Activity_status,Sex_Male,Sex_Female,Sex_Total,Township,MIMU_code
 Employee (Government),415,69,484,Khawzar,MMR011006
" Employee (Private, Org)",1265,480,1745,Khawzar,MMR011006
 Employer,221,71,292,Khawzar,MMR011006
 Own account worker,3848,2175,6023,Khawzar,MMR011006
 Contributing family worker,383,409,792,Khawzar,MMR011006
 Sought work,283,124,407,Khawzar,MMR011006
 Did not seek work,107,40,147,Khawzar,MMR011006
 Full time student,1109,1301,2410,Khawzar,MMR011006
 Household work,223,3966,4189,Khawzar,MMR011006
" Pensioner, retired, elderly person",367,495,862,Khawzar,MMR011006
" Ill, disabled",73,72,145,Khawzar,MMR011006
 Other,538,149,687,Khawzar,MMR011006
 Total,8832,9351,18183,Khawzar,MMR011006
