Activity_status,Sex_Male,Sex_Female,Sex_Total,Township,MIMU_code
 Employee (Government),1430,1150,2580,Paukkhaung,MMR008002
" Employee (Private, Org)",8530,4377,12907,Paukkhaung,MMR008002
 Employer,1691,388,2079,Paukkhaung,MMR008002
 Own account worker,21350,5214,26564,Paukkhaung,MMR008002
 Contributing family worker,7050,8403,15453,Paukkhaung,MMR008002
 Sought work,902,837,1739,Paukkhaung,MMR008002
 Did not seek work,170,114,284,Paukkhaung,MMR008002
 Full time student,4426,4853,9279,Paukkhaung,MMR008002
 Household work,648,24003,24651,Paukkhaung,MMR008002
" Pensioner, retired, elderly person",2791,3665,6456,Paukkhaung,MMR008002
" Ill, disabled",300,261,561,Paukkhaung,MMR008002
 Other,2153,1187,3340,Paukkhaung,MMR008002
 Total,51441,54452,105893,Paukkhaung,MMR008002
