Activity_status,Sex_Male,Sex_Female,Sex_Total,Township,MIMU_code
 Employee (Government),279,208,487,Ngwehsaung(ST),MMR017001
" Employee (Private, Org)",6807,2308,9115,Ngwehsaung(ST),MMR017001
 Employer,715,103,818,Ngwehsaung(ST),MMR017001
 Own account worker,4254,1413,5667,Ngwehsaung(ST),MMR017001
 Contributing family worker,949,887,1836,Ngwehsaung(ST),MMR017001
 Sought work,562,261,823,Ngwehsaung(ST),MMR017001
 Did not seek work,125,47,172,Ngwehsaung(ST),MMR017001
 Full time student,1986,2139,4125,Ngwehsaung(ST),MMR017001
 Household work,229,8263,8492,Ngwehsaung(ST),MMR017001
" Pensioner, retired, elderly person",612,856,1468,Ngwehsaung(ST),MMR017001
" Ill, disabled",159,146,305,Ngwehsaung(ST),MMR017001
 Other,1604,735,2339,Ngwehsaung(ST),MMR017001
 Total,18281,17366,35647,Ngwehsaung(ST),MMR017001
