Activity_status,Sex_Male,Sex_Female,Sex_Total,Township,MIMU_code
 Employee (Government),2788,2053,4841,Singaing,MMR010014
" Employee (Private, Org)",21588,13971,35559,Singaing,MMR010014
 Employer,1847,707,2554,Singaing,MMR010014
 Own account worker,14858,8413,23271,Singaing,MMR010014
 Contributing family worker,1898,2985,4883,Singaing,MMR010014
 Sought work,942,811,1753,Singaing,MMR010014
 Did not seek work,153,98,251,Singaing,MMR010014
 Full time student,6540,6827,13367,Singaing,MMR010014
 Household work,703,23653,24356,Singaing,MMR010014
" Pensioner, retired, elderly person",3517,4635,8152,Singaing,MMR010014
" Ill, disabled",375,331,706,Singaing,MMR010014
 Other,3387,1118,4505,Singaing,MMR010014
 Total,58596,65602,124198,Singaing,MMR010014
