Activity_status,Sex_Male,Sex_Female,Sex_Total,Township,MIMU_code
 Employee (Government),861,1060,1921,Ngaputaw,MMR017004
" Employee (Private, Org)",19296,4545,23841,Ngaputaw,MMR017004
 Employer,4556,772,5328,Ngaputaw,MMR017004
 Own account worker,17717,6566,24283,Ngaputaw,MMR017004
 Contributing family worker,5301,5134,10435,Ngaputaw,MMR017004
 Sought work,2099,1275,3374,Ngaputaw,MMR017004
 Did not seek work,349,278,627,Ngaputaw,MMR017004
 Full time student,9034,9405,18439,Ngaputaw,MMR017004
 Household work,758,31874,32632,Ngaputaw,MMR017004
" Pensioner, retired, elderly person",2438,3528,5966,Ngaputaw,MMR017004
" Ill, disabled",568,557,1125,Ngaputaw,MMR017004
 Other,2479,1217,3696,Ngaputaw,MMR017004
 Total,65456,66211,131667,Ngaputaw,MMR017004
