Activity_status,Sex_Male,Sex_Female,Sex_Total,Township,MIMU_code
 Employee (Government),705,578,1283,Mindon,MMR009014
" Employee (Private, Org)",1559,1158,2717,Mindon,MMR009014
 Employer,247,120,367,Mindon,MMR009014
 Own account worker,10868,7931,18799,Mindon,MMR009014
 Contributing family worker,4569,8231,12800,Mindon,MMR009014
 Sought work,260,325,585,Mindon,MMR009014
 Did not seek work,20,22,42,Mindon,MMR009014
 Full time student,2273,2258,4531,Mindon,MMR009014
 Household work,241,3152,3393,Mindon,MMR009014
" Pensioner, retired, elderly person",1992,3015,5007,Mindon,MMR009014
" Ill, disabled",235,225,460,Mindon,MMR009014
 Other,599,239,838,Mindon,MMR009014
 Total,23568,27254,50822,Mindon,MMR009014
