Activity_status,Sex_Male,Sex_Female,Sex_Total,Township,MIMU_code
 Employee (Government),2768,1469,4237,Mogaung,MMR001008
" Employee (Private, Org)",7637,2820,10457,Mogaung,MMR001008
 Employer,1587,485,2072,Mogaung,MMR001008
 Own account worker,16772,8352,25124,Mogaung,MMR001008
 Contributing family worker,4630,3943,8573,Mogaung,MMR001008
 Sought work,1665,907,2572,Mogaung,MMR001008
 Did not seek work,508,259,767,Mogaung,MMR001008
 Full time student,9601,11234,20835,Mogaung,MMR001008
 Household work,608,21427,22035,Mogaung,MMR001008
" Pensioner, retired, elderly person",1911,3912,5823,Mogaung,MMR001008
" Ill, disabled",322,311,633,Mogaung,MMR001008
 Other,1308,579,1887,Mogaung,MMR001008
 Total,49317,55698,105015,Mogaung,MMR001008
