Activity_status,Sex_Male,Sex_Female,Sex_Total,Township,MIMU_code
 Employee (Government),1772,2669,4441,Mudon,MMR011005
" Employee (Private, Org)",22218,11158,33376,Mudon,MMR011005
 Employer,4417,1700,6117,Mudon,MMR011005
 Own account worker,15835,10454,26289,Mudon,MMR011005
 Contributing family worker,3521,3893,7414,Mudon,MMR011005
 Sought work,4246,2983,7229,Mudon,MMR011005
 Did not seek work,974,676,1650,Mudon,MMR011005
 Full time student,8599,10284,18883,Mudon,MMR011005
 Household work,1032,32269,33301,Mudon,MMR011005
" Pensioner, retired, elderly person",3961,5095,9056,Mudon,MMR011005
" Ill, disabled",992,841,1833,Mudon,MMR011005
 Other,4869,1819,6688,Mudon,MMR011005
 Total,72436,83841,156277,Mudon,MMR011005
