Activity_status,Sex_Male,Sex_Female,Sex_Total,Township,MIMU_code
 Employee (Government),2099,741,2840,Yebyu,MMR006004
" Employee (Private, Org)",9364,2936,12300,Yebyu,MMR006004
 Employer,456,142,598,Yebyu,MMR006004
 Own account worker,12747,7225,19972,Yebyu,MMR006004
 Contributing family worker,2053,2661,4714,Yebyu,MMR006004
 Sought work,1915,1132,3047,Yebyu,MMR006004
 Did not seek work,228,168,396,Yebyu,MMR006004
 Full time student,6754,6931,13685,Yebyu,MMR006004
 Household work,537,14099,14636,Yebyu,MMR006004
" Pensioner, retired, elderly person",1513,2093,3606,Yebyu,MMR006004
" Ill, disabled",409,392,801,Yebyu,MMR006004
 Other,1498,816,2314,Yebyu,MMR006004
 Total,39573,39336,78909,Yebyu,MMR006004
