Activity_status,Sex_Male,Sex_Female,Sex_Total,Township,MIMU_code
 Employee (Government),691,753,1444,Htilin,MMR009024
" Employee (Private, Org)",1382,635,2017,Htilin,MMR009024
 Employer,330,111,441,Htilin,MMR009024
 Own account worker,6791,2997,9788,Htilin,MMR009024
 Contributing family worker,5277,9069,14346,Htilin,MMR009024
 Sought work,319,446,765,Htilin,MMR009024
 Did not seek work,15,16,31,Htilin,MMR009024
 Full time student,2261,2420,4681,Htilin,MMR009024
 Household work,176,3403,3579,Htilin,MMR009024
" Pensioner, retired, elderly person",1397,2038,3435,Htilin,MMR009024
" Ill, disabled",232,232,464,Htilin,MMR009024
 Other,419,169,588,Htilin,MMR009024
 Total,19290,22289,41579,Htilin,MMR009024
