Activity_status,Sex_Male,Sex_Female,Sex_Total,Township,MIMU_code
 Employee (Government),4742,2958,7700,Yaedashe,MMR007010
" Employee (Private, Org)",17515,10369,27884,Yaedashe,MMR007010
 Employer,3256,1006,4262,Yaedashe,MMR007010
 Own account worker,25509,11670,37179,Yaedashe,MMR007010
 Contributing family worker,6699,8056,14755,Yaedashe,MMR007010
 Sought work,1849,1312,3161,Yaedashe,MMR007010
 Did not seek work,289,207,496,Yaedashe,MMR007010
 Full time student,10803,11203,22006,Yaedashe,MMR007010
 Household work,830,33460,34290,Yaedashe,MMR007010
" Pensioner, retired, elderly person",3393,5082,8475,Yaedashe,MMR007010
" Ill, disabled",724,694,1418,Yaedashe,MMR007010
 Other,5732,3200,8932,Yaedashe,MMR007010
 Total,81341,89217,170558,Yaedashe,MMR007010
