Activity_status,Sex_Male,Sex_Female,Sex_Total,Township,MIMU_code
 Employee (Government),8673,3840,12513,Thanlyin,MMR013023
" Employee (Private, Org)",36331,16833,53164,Thanlyin,MMR013023
 Employer,2425,808,3233,Thanlyin,MMR013023
 Own account worker,20851,11271,32122,Thanlyin,MMR013023
 Contributing family worker,3650,6311,9961,Thanlyin,MMR013023
 Sought work,2821,1444,4265,Thanlyin,MMR013023
 Did not seek work,729,605,1334,Thanlyin,MMR013023
 Full time student,15157,14748,29905,Thanlyin,MMR013023
 Household work,1544,46001,47545,Thanlyin,MMR013023
" Pensioner, retired, elderly person",6302,6935,13237,Thanlyin,MMR013023
" Ill, disabled",1024,1057,2081,Thanlyin,MMR013023
 Other,8966,5843,14809,Thanlyin,MMR013023
 Total,108473,115696,224169,Thanlyin,MMR013023
