Activity_status,Sex_Male,Sex_Female,Sex_Total,Township,MIMU_code
 Employee (Government),1263,569,1832,Thandaunggyi,MMR003004
" Employee (Private, Org)",1327,376,1703,Thandaunggyi,MMR003004
 Employer,101,46,147,Thandaunggyi,MMR003004
 Own account worker,4413,1090,5503,Thandaunggyi,MMR003004
 Contributing family worker,1288,772,2060,Thandaunggyi,MMR003004
 Sought work,337,273,610,Thandaunggyi,MMR003004
 Did not seek work,54,68,122,Thandaunggyi,MMR003004
 Full time student,2237,2531,4768,Thandaunggyi,MMR003004
 Household work,101,4879,4980,Thandaunggyi,MMR003004
" Pensioner, retired, elderly person",299,537,836,Thandaunggyi,MMR003004
" Ill, disabled",97,114,211,Thandaunggyi,MMR003004
 Other,283,179,462,Thandaunggyi,MMR003004
 Total,11800,11434,23234,Thandaunggyi,MMR003004
