Activity_status,Sex_Male,Sex_Female,Sex_Total,Township,MIMU_code
 Employee (Government),1503,1673,3176,Wundwin,MMR010031
" Employee (Private, Org)",20308,19040,39348,Wundwin,MMR010031
 Employer,3537,1399,4936,Wundwin,MMR010031
 Own account worker,32820,16697,49517,Wundwin,MMR010031
 Contributing family worker,8324,18376,26700,Wundwin,MMR010031
 Sought work,1064,986,2050,Wundwin,MMR010031
 Did not seek work,199,125,324,Wundwin,MMR010031
 Full time student,10182,10572,20754,Wundwin,MMR010031
 Household work,749,27091,27840,Wundwin,MMR010031
" Pensioner, retired, elderly person",5780,7930,13710,Wundwin,MMR010031
" Ill, disabled",634,596,1230,Wundwin,MMR010031
 Other,2977,1222,4199,Wundwin,MMR010031
 Total,88077,105707,193784,Wundwin,MMR010031
