Activity_status,Sex_Male,Sex_Female,Sex_Total,Township,MIMU_code
 Employee (Government),1100,440,1540,Linkhe`,MMR014018
" Employee (Private, Org)",1443,982,2425,Linkhe`,MMR014018
 Employer,871,374,1245,Linkhe`,MMR014018
 Own account worker,5828,3978,9806,Linkhe`,MMR014018
 Contributing family worker,1531,2209,3740,Linkhe`,MMR014018
 Sought work,150,104,254,Linkhe`,MMR014018
 Did not seek work,63,24,87,Linkhe`,MMR014018
 Full time student,1063,1221,2284,Linkhe`,MMR014018
 Household work,240,3468,3708,Linkhe`,MMR014018
" Pensioner, retired, elderly person",961,1177,2138,Linkhe`,MMR014018
" Ill, disabled",162,150,312,Linkhe`,MMR014018
 Other,805,401,1206,Linkhe`,MMR014018
 Total,14217,14528,28745,Linkhe`,MMR014018
