Activity_status,Sex_Male,Sex_Female,Sex_Total,Township,MIMU_code
 Employee (Government),1270,910,2180,Ayartaw,MMR005014
" Employee (Private, Org)",12816,8207,21023,Ayartaw,MMR005014
 Employer,1537,475,2012,Ayartaw,MMR005014
 Own account worker,21684,9426,31110,Ayartaw,MMR005014
 Contributing family worker,4119,6160,10279,Ayartaw,MMR005014
 Sought work,1713,1534,3247,Ayartaw,MMR005014
 Did not seek work,188,109,297,Ayartaw,MMR005014
 Full time student,7360,7949,15309,Ayartaw,MMR005014
 Household work,618,29460,30078,Ayartaw,MMR005014
" Pensioner, retired, elderly person",3816,6425,10241,Ayartaw,MMR005014
" Ill, disabled",567,614,1181,Ayartaw,MMR005014
 Other,2261,1100,3361,Ayartaw,MMR005014
 Total,57949,72369,130318,Ayartaw,MMR005014
