Activity_status,Sex_Male,Sex_Female,Sex_Total,Township,MIMU_code
 Employee (Government),988,1079,2067,Tedim,MMR004004
" Employee (Private, Org)",1076,429,1505,Tedim,MMR004004
 Employer,121,75,196,Tedim,MMR004004
 Own account worker,4062,1741,5803,Tedim,MMR004004
 Contributing family worker,9329,9059,18388,Tedim,MMR004004
 Sought work,2119,1199,3318,Tedim,MMR004004
 Did not seek work,455,325,780,Tedim,MMR004004
 Full time student,7523,7818,15341,Tedim,MMR004004
 Household work,1442,9272,10714,Tedim,MMR004004
" Pensioner, retired, elderly person",1309,1452,2761,Tedim,MMR004004
" Ill, disabled",382,482,864,Tedim,MMR004004
 Other,992,708,1700,Tedim,MMR004004
 Total,29798,33639,63437,Tedim,MMR004004
