Activity_status,Sex_Male,Sex_Female,Sex_Total,Township,MIMU_code
 Employee (Government),1695,2043,3738,Nyaunglebin,MMR007005
" Employee (Private, Org)",18342,9832,28174,Nyaunglebin,MMR007005
 Employer,3990,1010,5000,Nyaunglebin,MMR007005
 Own account worker,22217,9652,31869,Nyaunglebin,MMR007005
 Contributing family worker,4620,3883,8503,Nyaunglebin,MMR007005
 Sought work,3078,2463,5541,Nyaunglebin,MMR007005
 Did not seek work,323,207,530,Nyaunglebin,MMR007005
 Full time student,11326,11689,23015,Nyaunglebin,MMR007005
 Household work,1176,36538,37714,Nyaunglebin,MMR007005
" Pensioner, retired, elderly person",4048,6043,10091,Nyaunglebin,MMR007005
" Ill, disabled",853,772,1625,Nyaunglebin,MMR007005
 Other,3097,1926,5023,Nyaunglebin,MMR007005
 Total,74765,86058,160823,Nyaunglebin,MMR007005
