Activity_status,Sex_Male,Sex_Female,Sex_Total,Township,MIMU_code
 Employee (Government),751,826,1577,Zigon,MMR008011
" Employee (Private, Org)",6963,1953,8916,Zigon,MMR008011
 Employer,2130,273,2403,Zigon,MMR008011
 Own account worker,7713,1892,9605,Zigon,MMR008011
 Contributing family worker,1018,1118,2136,Zigon,MMR008011
 Sought work,1465,883,2348,Zigon,MMR008011
 Did not seek work,175,78,253,Zigon,MMR008011
 Full time student,2510,2619,5129,Zigon,MMR008011
 Household work,370,17634,18004,Zigon,MMR008011
" Pensioner, retired, elderly person",1755,2142,3897,Zigon,MMR008011
" Ill, disabled",217,192,409,Zigon,MMR008011
 Other,2142,922,3064,Zigon,MMR008011
 Total,27209,30532,57741,Zigon,MMR008011
