Activity_status,Sex_Male,Sex_Female,Sex_Total,Township,MIMU_code
 Employee (Government),1110,1403,2513,Wetlet,MMR005006
" Employee (Private, Org)",14365,10766,25131,Wetlet,MMR005006
 Employer,2899,1253,4152,Wetlet,MMR005006
 Own account worker,29961,18067,48028,Wetlet,MMR005006
 Contributing family worker,7893,16371,24264,Wetlet,MMR005006
 Sought work,1091,1302,2393,Wetlet,MMR005006
 Did not seek work,98,75,173,Wetlet,MMR005006
 Full time student,9219,9626,18845,Wetlet,MMR005006
 Household work,427,23214,23641,Wetlet,MMR005006
" Pensioner, retired, elderly person",4525,7335,11860,Wetlet,MMR005006
" Ill, disabled",634,747,1381,Wetlet,MMR005006
 Other,2497,954,3451,Wetlet,MMR005006
 Total,74719,91113,165832,Wetlet,MMR005006
