Activity_status,Sex_Male,Sex_Female,Sex_Total,Township,MIMU_code
 Employee (Government),2533,2081,4614,Myitthar,MMR010015
" Employee (Private, Org)",23233,16525,39758,Myitthar,MMR010015
 Employer,4187,1259,5446,Myitthar,MMR010015
 Own account worker,20822,10305,31127,Myitthar,MMR010015
 Contributing family worker,5915,6888,12803,Myitthar,MMR010015
 Sought work,1384,1019,2403,Myitthar,MMR010015
 Did not seek work,269,150,419,Myitthar,MMR010015
 Full time student,9452,9950,19402,Myitthar,MMR010015
 Household work,1108,31142,32250,Myitthar,MMR010015
" Pensioner, retired, elderly person",3894,5410,9304,Myitthar,MMR010015
" Ill, disabled",572,509,1081,Myitthar,MMR010015
 Other,2187,867,3054,Myitthar,MMR010015
 Total,75556,86105,161661,Myitthar,MMR010015
