Activity_status,Sex_Male,Sex_Female,Sex_Total,Township,MIMU_code
 Employee (Government),697,1321,2018,Palaw,MMR006007
" Employee (Private, Org)",9404,3338,12742,Palaw,MMR006007
 Employer,844,165,1009,Palaw,MMR006007
 Own account worker,8992,4190,13182,Palaw,MMR006007
 Contributing family worker,1913,1457,3370,Palaw,MMR006007
 Sought work,1087,616,1703,Palaw,MMR006007
 Did not seek work,307,144,451,Palaw,MMR006007
 Full time student,5588,6745,12333,Palaw,MMR006007
 Household work,955,14981,15936,Palaw,MMR006007
" Pensioner, retired, elderly person",1753,2317,4070,Palaw,MMR006007
" Ill, disabled",482,349,831,Palaw,MMR006007
 Other,2300,1771,4071,Palaw,MMR006007
 Total,34322,37394,71716,Palaw,MMR006007
