Activity_status,Sex_Male,Sex_Female,Sex_Total,Township,MIMU_code
 Employee (Government),1449,1125,2574,Tada U,MMR010016
" Employee (Private, Org)",9451,5422,14873,Tada U,MMR010016
 Employer,1096,407,1503,Tada U,MMR010016
 Own account worker,22242,10514,32756,Tada U,MMR010016
 Contributing family worker,4055,6104,10159,Tada U,MMR010016
 Sought work,1199,940,2139,Tada U,MMR010016
 Did not seek work,209,113,322,Tada U,MMR010016
 Full time student,6272,6392,12664,Tada U,MMR010016
 Household work,1272,25374,26646,Tada U,MMR010016
" Pensioner, retired, elderly person",3199,4802,8001,Tada U,MMR010016
" Ill, disabled",379,393,772,Tada U,MMR010016
 Other,2034,792,2826,Tada U,MMR010016
 Total,52857,62378,115235,Tada U,MMR010016
