Activity_status,Sex_Male,Sex_Female,Sex_Total,Township,MIMU_code
 Employee (Government),2729,1873,4602,Kawkareik,MMR003006
" Employee (Private, Org)",8901,3331,12232,Kawkareik,MMR003006
 Employer,2069,806,2875,Kawkareik,MMR003006
 Own account worker,25446,13819,39265,Kawkareik,MMR003006
 Contributing family worker,7812,9989,17801,Kawkareik,MMR003006
 Sought work,4564,2330,6894,Kawkareik,MMR003006
 Did not seek work,824,367,1191,Kawkareik,MMR003006
 Full time student,12338,14292,26630,Kawkareik,MMR003006
 Household work,2500,31716,34216,Kawkareik,MMR003006
" Pensioner, retired, elderly person",4232,5925,10157,Kawkareik,MMR003006
" Ill, disabled",1094,1060,2154,Kawkareik,MMR003006
 Other,7390,4087,11477,Kawkareik,MMR003006
 Total,79899,89595,169494,Kawkareik,MMR003006
