Activity_status,Sex_Male,Sex_Female,Sex_Total,Township,MIMU_code
 Employee (Government),1157,1265,2422,Kangyidaunt,MMR017002
" Employee (Private, Org)",20035,9972,30007,Kangyidaunt,MMR017002
 Employer,8083,1427,9510,Kangyidaunt,MMR017002
 Own account worker,15194,6007,21201,Kangyidaunt,MMR017002
 Contributing family worker,5316,6392,11708,Kangyidaunt,MMR017002
 Sought work,1514,1167,2681,Kangyidaunt,MMR017002
 Did not seek work,253,147,400,Kangyidaunt,MMR017002
 Full time student,9233,9118,18351,Kangyidaunt,MMR017002
 Household work,521,31079,31600,Kangyidaunt,MMR017002
" Pensioner, retired, elderly person",2154,3426,5580,Kangyidaunt,MMR017002
" Ill, disabled",792,746,1538,Kangyidaunt,MMR017002
 Other,5060,3156,8216,Kangyidaunt,MMR017002
 Total,69312,73902,143214,Kangyidaunt,MMR017002
