Activity_status,Sex_Male,Sex_Female,Sex_Total,Township,MIMU_code
 Employee (Government),750,151,901,Minekat,MMR016002
" Employee (Private, Org)",385,109,494,Minekat,MMR016002
 Employer,125,45,170,Minekat,MMR016002
 Own account worker,7303,3916,11219,Minekat,MMR016002
 Contributing family worker,3941,3923,7864,Minekat,MMR016002
 Sought work,170,136,306,Minekat,MMR016002
 Did not seek work,359,291,650,Minekat,MMR016002
 Full time student,704,484,1188,Minekat,MMR016002
 Household work,1329,5101,6430,Minekat,MMR016002
" Pensioner, retired, elderly person",819,1116,1935,Minekat,MMR016002
" Ill, disabled",53,50,103,Minekat,MMR016002
 Other,1769,968,2737,Minekat,MMR016002
 Total,17707,16290,33997,Minekat,MMR016002
