Activity_status,Sex_Male,Sex_Female,Sex_Total,Township,MIMU_code
 Employee (Government),3006,4348,7354,Thingangyun,MMR013009
" Employee (Private, Org)",28399,15281,43680,Thingangyun,MMR013009
 Employer,2358,1075,3433,Thingangyun,MMR013009
 Own account worker,16461,9921,26382,Thingangyun,MMR013009
 Contributing family worker,1506,1474,2980,Thingangyun,MMR013009
 Sought work,2769,1430,4199,Thingangyun,MMR013009
 Did not seek work,512,224,736,Thingangyun,MMR013009
 Full time student,13677,13402,27079,Thingangyun,MMR013009
 Household work,1055,38228,39283,Thingangyun,MMR013009
" Pensioner, retired, elderly person",6979,7952,14931,Thingangyun,MMR013009
" Ill, disabled",636,545,1181,Thingangyun,MMR013009
 Other,8496,4623,13119,Thingangyun,MMR013009
 Total,85854,98503,184357,Thingangyun,MMR013009
