Activity_status,Sex_Male,Sex_Female,Sex_Total,Township,MIMU_code
 Employee (Government),2381,2625,5006,Yankin,MMR013010
" Employee (Private, Org)",9492,6496,15988,Yankin,MMR013010
 Employer,837,384,1221,Yankin,MMR013010
 Own account worker,4479,3103,7582,Yankin,MMR013010
 Contributing family worker,553,519,1072,Yankin,MMR013010
 Sought work,1047,656,1703,Yankin,MMR013010
 Did not seek work,214,120,334,Yankin,MMR013010
 Full time student,4414,4542,8956,Yankin,MMR013010
 Household work,331,11471,11802,Yankin,MMR013010
" Pensioner, retired, elderly person",2659,3381,6040,Yankin,MMR013010
" Ill, disabled",231,205,436,Yankin,MMR013010
 Other,2317,989,3306,Yankin,MMR013010
 Total,28955,34491,63446,Yankin,MMR013010
