Activity_status,Sex_Male,Sex_Female,Sex_Total,Township,MIMU_code
 Employee (Government),1981,1464,3445,Dagon,MMR013043
" Employee (Private, Org)",3184,2593,5777,Dagon,MMR013043
 Employer,509,302,811,Dagon,MMR013043
 Own account worker,1063,788,1851,Dagon,MMR013043
 Contributing family worker,151,180,331,Dagon,MMR013043
 Sought work,352,248,600,Dagon,MMR013043
 Did not seek work,55,29,84,Dagon,MMR013043
 Full time student,1582,1863,3445,Dagon,MMR013043
 Household work,81,3151,3232,Dagon,MMR013043
" Pensioner, retired, elderly person",780,1049,1829,Dagon,MMR013043
" Ill, disabled",85,73,158,Dagon,MMR013043
 Other,729,342,1071,Dagon,MMR013043
 Total,10552,12082,22634,Dagon,MMR013043
