Activity_status,Sex_Male,Sex_Female,Sex_Total,Township,MIMU_code
 Employee (Government),3582,2673,6255,Chauk,MMR009003
" Employee (Private, Org)",13183,8841,22024,Chauk,MMR009003
 Employer,2364,1017,3381,Chauk,MMR009003
 Own account worker,17687,10765,28452,Chauk,MMR009003
 Contributing family worker,4380,7436,11816,Chauk,MMR009003
 Sought work,2261,1903,4164,Chauk,MMR009003
 Did not seek work,238,125,363,Chauk,MMR009003
 Full time student,11663,11522,23185,Chauk,MMR009003
 Household work,1217,32490,33707,Chauk,MMR009003
" Pensioner, retired, elderly person",5072,6481,11553,Chauk,MMR009003
" Ill, disabled",576,549,1125,Chauk,MMR009003
 Other,4585,3378,7963,Chauk,MMR009003
 Total,66808,87180,153988,Chauk,MMR009003
