Activity_status,Sex_Male,Sex_Female,Sex_Total,Township,MIMU_code
 Employee (Government),342,196,538,Manton,MMR015019
" Employee (Private, Org)",613,230,843,Manton,MMR015019
 Employer,172,93,265,Manton,MMR015019
 Own account worker,5776,4045,9821,Manton,MMR015019
 Contributing family worker,2930,4552,7482,Manton,MMR015019
 Sought work,230,162,392,Manton,MMR015019
 Did not seek work,69,53,122,Manton,MMR015019
 Full time student,1880,2252,4132,Manton,MMR015019
 Household work,154,1885,2039,Manton,MMR015019
" Pensioner, retired, elderly person",389,687,1076,Manton,MMR015019
" Ill, disabled",86,107,193,Manton,MMR015019
 Other,784,568,1352,Manton,MMR015019
 Total,13425,14830,28255,Manton,MMR015019
