Activity_status,Sex_Male,Sex_Female,Sex_Total,Township,MIMU_code
 Employee (Government),1763,1479,3242,Nyaungdon,MMR017021
" Employee (Private, Org)",21665,11015,32680,Nyaungdon,MMR017021
 Employer,2928,899,3827,Nyaungdon,MMR017021
 Own account worker,29232,15442,44674,Nyaungdon,MMR017021
 Contributing family worker,6960,8413,15373,Nyaungdon,MMR017021
 Sought work,1224,649,1873,Nyaungdon,MMR017021
 Did not seek work,279,142,421,Nyaungdon,MMR017021
 Full time student,10710,10671,21381,Nyaungdon,MMR017021
 Household work,825,32996,33821,Nyaungdon,MMR017021
" Pensioner, retired, elderly person",3664,5237,8901,Nyaungdon,MMR017021
" Ill, disabled",900,860,1760,Nyaungdon,MMR017021
 Other,5125,2184,7309,Nyaungdon,MMR017021
 Total,85275,89987,175262,Nyaungdon,MMR017021
