Activity_status,Sex_Male,Sex_Female,Sex_Total,Township,MIMU_code
 Employee (Government),1330,306,1636,Bokepyin,MMR006010
" Employee (Private, Org)",6180,1234,7414,Bokepyin,MMR006010
 Employer,434,70,504,Bokepyin,MMR006010
 Own account worker,5114,1706,6820,Bokepyin,MMR006010
 Contributing family worker,1412,749,2161,Bokepyin,MMR006010
 Sought work,304,138,442,Bokepyin,MMR006010
 Did not seek work,114,47,161,Bokepyin,MMR006010
 Full time student,2583,2621,5204,Bokepyin,MMR006010
 Household work,428,8172,8600,Bokepyin,MMR006010
" Pensioner, retired, elderly person",413,515,928,Bokepyin,MMR006010
" Ill, disabled",96,79,175,Bokepyin,MMR006010
 Other,709,355,1064,Bokepyin,MMR006010
 Total,19117,15992,35109,Bokepyin,MMR006010
