Activity_status,Sex_Male,Sex_Female,Sex_Total,Township,MIMU_code
 Employee (Government),1412,891,2303,Hainggyikyun(ST),MMR017004
" Employee (Private, Org)",14831,2540,17371,Hainggyikyun(ST),MMR017004
 Employer,2220,423,2643,Hainggyikyun(ST),MMR017004
 Own account worker,14196,5238,19434,Hainggyikyun(ST),MMR017004
 Contributing family worker,2025,2562,4587,Hainggyikyun(ST),MMR017004
 Sought work,1703,1030,2733,Hainggyikyun(ST),MMR017004
 Did not seek work,223,268,491,Hainggyikyun(ST),MMR017004
 Full time student,5550,5996,11546,Hainggyikyun(ST),MMR017004
 Household work,482,22919,23401,Hainggyikyun(ST),MMR017004
" Pensioner, retired, elderly person",1953,2879,4832,Hainggyikyun(ST),MMR017004
" Ill, disabled",495,368,863,Hainggyikyun(ST),MMR017004
 Other,2231,1137,3368,Hainggyikyun(ST),MMR017004
 Total,47321,46251,93572,Hainggyikyun(ST),MMR017004
