Activity_status,Sex_Male,Sex_Female,Sex_Total,Township,MIMU_code
 Employee (Government),729,1169,1898,Thongwa,MMR013025
" Employee (Private, Org)",20144,8770,28914,Thongwa,MMR013025
 Employer,5091,1239,6330,Thongwa,MMR013025
 Own account worker,14230,4776,19006,Thongwa,MMR013025
 Contributing family worker,4131,10418,14549,Thongwa,MMR013025
 Sought work,1229,803,2032,Thongwa,MMR013025
 Did not seek work,330,176,506,Thongwa,MMR013025
 Full time student,8105,7574,15679,Thongwa,MMR013025
 Household work,563,27637,28200,Thongwa,MMR013025
" Pensioner, retired, elderly person",2387,3587,5974,Thongwa,MMR013025
" Ill, disabled",584,470,1054,Thongwa,MMR013025
 Other,3857,2005,5862,Thongwa,MMR013025
 Total,61380,68624,130004,Thongwa,MMR013025
