Activity_status,Sex_Male,Sex_Female,Sex_Total,Township,MIMU_code
 Employee (Government),3230,2007,5237,Kyaikto,MMR011009
" Employee (Private, Org)",20070,9009,29079,Kyaikto,MMR011009
 Employer,2165,967,3132,Kyaikto,MMR011009
 Own account worker,18719,12948,31667,Kyaikto,MMR011009
 Contributing family worker,3379,3709,7088,Kyaikto,MMR011009
 Sought work,1647,984,2631,Kyaikto,MMR011009
 Did not seek work,372,231,603,Kyaikto,MMR011009
 Full time student,10479,11238,21717,Kyaikto,MMR011009
 Household work,921,27141,28062,Kyaikto,MMR011009
" Pensioner, retired, elderly person",3384,4732,8116,Kyaikto,MMR011009
" Ill, disabled",659,496,1155,Kyaikto,MMR011009
 Other,5638,2109,7747,Kyaikto,MMR011009
 Total,70663,75571,146234,Kyaikto,MMR011009
